出席番号,化学,生物,,,,
1,82,86,,,,
2,85,93,,,,
3,94,77,,,,
4,90,97,,,,
5,92,82,,,,
6,93,85,,,,
7,55,92,,,,
8,79,75,,,,
9,82,63,,,,
10,71,90,,,,
11,99,81,,,,
12,82,95,,,,
13,88,93,,,,
14,92,99,,,,
15,77,95,,,,
16,63,84,,,,
17,72,80,,,,
18,30,45,,,,
19,73,74,,,,
20,98,92,,,,
21,84,95,,,,
22,90,95,,,,
23,47,81,,,,
24,84,93,,,,
25,84,96,,,,
26,63,75,,,,
27,100,99,,,,
28,70,67,,,,
29,94,99,,,,
30,87,95,,,,
31,84,89,,,,
32,70,85,,,,
33,92,93,,,,
34,41,61,,,,
35,75,91,,,,
36,80,84,,,,
37,59,45,,,,
38,70,92,,,,
39,93,96,,,,
40,96,89,,,,
41,95,90,,,,
42,99,92,,,,
43,24,85,,,,
44,99,98,,,,
45,88,88,,,,
46,94,88,,,,
47,100,96,,,,
48,44,70,,,,
49,75,67,,,,
50,80,89,,,,
51,87,80,,,,
52,100,96,,,,
53,85,90,,,,
54,74,100,,,,
55,100,97,,,,
56,100,82,,,,
57,84,85,,,,
58,81,71,,,,
59,79,91,,,,
60,92,98,,,,
61,100,94,,,,
62,97,83,,,,
63,97,92,,,,
64,84,92,,,,
65,100,75,,,,
66,96,98,,,,
67,72,79,,,,
68,99,97,,,,
69,91,95,,,,
70,98,92,,,,
71,88,89,,,,
72,94,98,,,,
73,92,62,,,,
74,95,90,,,,
75,56,84,,,,
76,98,89,,,,
77,99,97,,,,
78,86,96,,,,
79,75,92,,,,
80,93,86,,,,
81,60,54,,,,
82,90,84,,,,
83,80,61,,,,
84,85,90,,,,
85,84,77,,,,
86,60,57,,,,
87,70,66,,,,
88,82,65,,,,
89,79,78,,,,
90,98,88,,,,
91,40,25,,,,
92,71,63,,,,
93,100,97,,,,
94,94,98,,,,
95,76,80,,,,
96,72,62,,,,
97,41,33,,,,
98,73,81,,,,
99,96,84,,,,
100,83,95,,,,
101,89,82,,,,
102,80,62,,,,
103,94,87,,,,
104,88,81,,,,
105,65,63,,,,
106,99,92,,,,
107,87,65,,,,
108,98,98,,,,
109,94,89,,,,
110,87,84,,,,
111,86,62,,,,
112,71,90,,,,
113,50,42,,,,
114,80,87,,,,
115,26,45,,,,
116,67,44,,,,
117,87,78,,,,
118,98,87,,,,
119,96,78,,,,
120,83,68,,,,
121,95,86,,,,
122,33,58,,,,
123,98,89,,,,
124,85,76,,,,
125,96,75,,,,
126,91,81,,,,
127,78,53,,,,
128,76,52,,,,
129,78,62,,,,
130,88,72,,,,
131,97,82,,,,
132,65,67,,,,
133,93,93,,,,
134,100,89,,,,
135,94,48,,,,
136,61,47,,,,
137,60,49,,,,
138,71,89,,,,
139,98,79,,,,
140,99,85,,,,
141,92,77,,,,
142,68,84,,,,
143,97,69,,,,
144,78,72,,,,
145,91,44,,,,
146,100,90,,,,
147,74,76,,,,
148,100,90,,,,
149,96,89,,,,
150,93,85,,,,
151,85,46,,,,
152,95,48,,,,
153,18,59,,,,
154,92,85,,,,
155,79,78,,,,
156,77,70,,,,
157,98,76,,,,
158,89,80,,,,
159,97,75,,,,
