Gene,N61311_Dex,N052611_Dex,N080611_Dex,N061011_Dex,N61311_untreated,N052611_untreated,N080611_untreated,N061011_untreated
DDX11L1,8,10,8,1,6,5,6,2
WASH7P,292,428,415,381,357,469,367,371
MIR6859-1,11,15,11,9,12,15,9,10
MIR1302-2HG,1,2,1,1,1,3,1,2
MIR1302-2,0,0,0,0,0,0,0,0
FAM138A,2,2,2,3,7,6,2,6
OR4F5,0,0,0,0,0,0,0,0
LOC100996442,22,41,27,35,24,46,27,57
LOC729737,38,124,56,70,50,118,43,78
DDX11L17,10,15,12,1,8,7,7,2
WASH9P,330,470,509,389,378,502,453,382
MIR6859-2,10,12,9,12,14,11,7,7
LOC107985721,2,2,2,1,2,4,4,3
LOC112268260,15,13,29,11,21,21,30,19
OR4F29,0,0,0,0,0,0,0,1
LOC100132287,61,135,101,97,85,159,94,111
LOC105378947,4,4,5,5,6,3,4,2
LOC101928626,0,0,0,0,0,0,1,0
MIR12136,2254,5241,4119,4071,2357,2590,4172,3807
OR4F16,1,2,2,1,1,1,3,2
LOC100133331,69,148,98,94,79,141,75,121
LOC107984841,9,22,15,12,11,23,18,16
LOC107984847,18,33,28,25,20,46,46,24
LOC107984849,1,4,3,4,1,7,5,3
LOC100288069,17,24,19,16,25,44,19,30
LINC01409,14,41,26,26,8,29,21,28
FAM87B,5,7,10,9,3,15,8,6
LINC00115,17,40,30,34,21,28,27,40
LINC01128,301,409,423,626,267,292,281,441
LOC107984850,0,6,3,5,0,0,1,2
FAM41C,1,3,1,3,2,3,1,5
LOC284600,1,4,7,7,7,13,11,12
LINC02593,7,3,6,10,14,23,18,45
LOC107985728,9,1,7,6,27,32,26,54
SAMD11,143,99,134,109,209,176,195,165
NOC2L,1134,1406,1626,1421,1027,1098,1249,1148
KLHL17,237,208,313,299,219,181,313,259
PLEKHN1,15,17,22,25,21,16,21,21
PERM1,2,1,5,5,1,4,12,3
HES4,40,14,25,34,22,10,5,13
ISG15,234,231,227,285,321,216,219,231
AGRN,1863,2511,3309,2716,2421,2357,2962,2643
LOC100288175,4,0,2,1,0,1,1,0
LOC112267874,1,0,0,1,0,1,0,1
LOC105378948,0,0,1,1,0,1,1,2
RNF223,0,0,0,0,0,0,0,0
C1orf159,105,168,184,191,98,128,150,182
LINC01342,0,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0,0
TTLL10-AS1,0,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0,0
TNFRSF18,0,0,7,0,1,1,4,0
TNFRSF4,0,0,1,3,4,2,3,2
SDF4,4238,7794,7340,8164,4431,5398,6507,7110
B3GALT6,389,645,786,558,433,457,575,568
C1QTNF12,8,13,15,24,8,18,6,21
UBE2J2,616,987,852,989,625,696,759,916
LINC01786,30,52,52,67,44,45,53,54
SCNN1D,107,149,149,170,135,138,143,137
ACAP3,1212,1213,900,1485,1643,1335,1293,1658
MIR6726,0,0,0,0,0,0,1,0
SNORD167,10,8,6,13,13,11,8,13
PUSL1,203,268,288,284,223,235,270,299
INTS11,946,1367,1311,1512,957,1057,1163,1238
MIR6727,4,2,4,3,2,2,7,2
CPTP,288,543,436,491,318,381,426,444
TAS1R3,7,13,11,20,14,10,15,12
DVL1,1142,1579,1318,1947,1123,1118,1130,1549
MIR6808,0,0,1,1,0,1,1,1
MXRA8,10780,18300,13219,18449,11197,12519,11607,15324
AURKAIP1,714,977,1097,1094,694,727,820,919
CCNL2,4502,7227,6092,7553,4053,3920,4963,5599
MRPL20-AS1,253,407,374,295,238,332,317,252
MRPL20,512,882,809,798,501,621,654,737
LOC107984868,2,4,3,4,2,3,4,0
ANKRD65,47,50,18,60,29,39,21,57
ANKRD65-AS1,2,5,2,3,2,3,1,7
TMEM88B,0,0,1,0,1,2,3,0
LINC01770,3,0,0,1,2,2,0,3
LOC107985729,0,1,2,0,3,1,0,3
VWA1,140,168,114,236,179,125,88,253
ATAD3C,16,28,32,28,16,15,27,22
ATAD3B,371,443,500,440,338,301,315,373
ATAD3A,405,465,650,534,345,350,458,446
TMEM240,55,93,76,109,53,67,69,95
SSU72,1643,3004,2599,2735,1623,1980,2197,2323
FNDC10,180,164,108,212,152,110,65,138
LOC105378586,8,7,6,8,11,4,4,9
MIB2,850,1047,1230,1465,1123,1104,1252,1505
MMP23B,115,170,238,254,175,150,225,263
CDK11B,1134,1809,1430,1965,1175,1229,1304,1701
SLC35E2B,1809,3458,2268,2931,2899,3360,3050,3254
MMP23A,74,109,173,180,128,104,174,188
CDK11A,782,1214,751,1692,763,834,721,1355
SLC35E2A,1178,1811,1393,2195,1892,1548,1932,2546
LOC112268218,141,233,169,288,99,122,118,164
NADK,1609,3029,2071,3686,1121,1226,1375,1544
GNB1,6258,13074,11278,12304,6582,8262,8709,9789
GNB1-DT,2,7,8,6,6,5,3,11
CALML6,23,24,22,38,28,26,14,45
TMEM52,3,4,4,7,3,3,2,2
CFAP74,0,0,0,0,0,0,0,0
LOC107984872,0,0,0,0,0,0,0,0
LOC105378589,0,0,0,1,0,0,1,0
GABRD,0,0,0,0,0,0,0,0
LOC105378590,0,0,0,0,0,0,0,0
PRKCZ-DT,0,0,0,0,0,0,0,0
PRKCZ,66,84,94,85,83,69,86,88
PRKCZ-AS1,16,20,28,27,14,33,30,21
FAAP20,677,884,782,876,694,723,613,855
LOC112268219,47,74,80,90,66,102,60,92
LOC105378593,8,9,10,11,8,4,6,17
SKI,1802,3178,3061,3869,2191,2301,2714,3859
MORN1,48,72,101,71,77,71,75,90
LOC100129534,25,36,36,31,41,17,27,46
RER1,2167,4106,3474,3758,2097,2483,2642,2962
PEX10,348,611,593,620,407,520,584,580
PLCH2,2,4,7,9,7,6,5,12
PANK4,356,401,477,489,338,281,375,408
HES5,0,0,0,0,0,0,0,0
TNFRSF14-AS1,57,65,63,112,108,91,63,138
TNFRSF14,468,502,465,752,678,505,519,884
LOC100996583,2,1,2,3,2,1,0,1
PRXL2B,415,596,507,586,363,390,417,473
MMEL1,54,57,54,58,34,43,46,54
MMEL1-AS1,0,1,0,2,0,0,1,1
TTC34,3,14,9,7,13,15,13,13
LOC105378603,0,0,0,0,0,0,0,0
LOC105378602,0,0,0,0,0,0,0,0
LOC105378601,0,0,0,0,0,0,0,0
LOC112268220,0,0,0,0,1,0,0,0
LOC107985732,0,0,0,0,0,0,0,0
LOC105378600,0,0,0,0,0,0,0,0
LOC105378598,0,0,0,0,0,0,0,0
LOC107984904,0,0,0,0,0,0,0,0
LOC105378599,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0
PRDM16-DT,13,10,3,7,10,11,7,6
PRDM16,60,67,49,69,85,67,43,77
MIR4251,0,0,0,0,0,0,0,0
LOC105378606,0,0,0,0,0,0,0,0
LOC107984909,0,0,0,0,0,0,0,0
LOC105378605,0,0,0,0,0,0,0,0
LOC105378604,6,7,13,6,5,8,8,3
ARHGEF16,0,0,1,0,1,2,2,1
MEGF6,332,1562,854,2524,505,1196,522,1987
LOC105378608,0,0,1,0,2,3,1,1
MIR551A,0,0,0,0,0,0,0,0
LOC105378607,0,0,0,0,0,0,0,0
TPRG1L,1560,3274,2356,3458,1834,2118,2376,2528
WRAP73,272,433,431,379,276,267,349,297
TP73,9,11,9,12,10,12,9,11
TP73-AS3,0,0,0,0,0,0,0,0
LOC105378609,0,0,0,0,0,0,0,0
TP73-AS1,695,1403,1116,1352,893,1128,1123,1417
CCDC27,1,0,2,3,3,9,4,9
SMIM1,10,24,15,21,28,22,16,31
LRRC47,678,1210,1045,1116,787,892,868,1002
CEP104,586,935,870,1113,517,572,866,783
DFFB,89,132,121,152,100,105,110,124
LOC107984910,0,2,4,1,1,0,1,1
C1orf174,345,517,535,506,341,412,416,442
LINC01134,6,9,7,7,4,4,10,13
LINC01346,0,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0,0
LINC02780,0,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0,0
LOC105376674,0,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0,0
LOC107985376,0,0,0,0,0,0,0,0
AJAP1,0,0,0,0,0,0,0,0
LINC02781,0,0,0,0,0,0,0,0
LOC102724429,0,0,0,0,0,0,0,0
LINC02782,0,0,0,0,0,0,0,0
LOC105376682,0,0,0,0,0,0,0,0
LOC107984911,0,0,0,0,0,0,0,0
LOC105376686,0,0,0,0,0,0,0,0
MIR4689,0,0,0,0,0,0,0,0
